sid,topic,skill_name
352,Athletics,Network Design
353,Humanities,Problem Solving
354,STEM,GIS Modeling
355,STEM,Self-esteem
356,Athletics,OmniPage
357,Athletics,Government Relations
358,Athletics,SQR
359,Athletics,Workplace Safety
360,STEM,Emergency Nursing
361,Athletics,Registered Nurses
362,Humanities,Ecological Restoration
363,STEM,Rehabilitation Psychology
364,Athletics,Gym
365,STEM,DNA Repair
366,Humanities,IRB
367,STEM,Equity Valuation
368,Athletics,SAP ERP
369,Humanities,NIST
370,Humanities,Medical Illustration
371,Humanities,Theory
372,Humanities,nDo
373,Humanities,XPAC
374,STEM,Parts
375,STEM,Dunn &amp; Bradstreet
376,Athletics,ERISA
377,STEM,International Trade
378,Athletics,Training Delivery
379,Athletics,Kaspersky Antivirus
380,Humanities,PPE
381,STEM,International Humanitarian Law
382,Athletics,Korean Culture
383,Athletics,RMDS
384,Humanities,SVOD
385,Humanities,Cisco MDS SAN switches
386,STEM,IT Strategy
387,STEM,FF&amp;E
388,Athletics,International Business
389,Athletics,MPLS-TP
390,Humanities,NMT
391,Athletics,MCSD
392,Humanities,GAAP
393,Athletics,FCC
394,Humanities,VCM
395,STEM,eWFM
396,Athletics,NCFM
397,STEM,Development Tech
398,STEM,SNOMED
399,Athletics,Advertising
400,STEM,ZeroMQ
401,Athletics,VPython
402,Humanities,Politics
403,STEM,MMI
404,Athletics,Badminton
405,Humanities,Arts
406,Athletics,Aluminum
407,Athletics,BMC Remedy User
408,Athletics,Financial Planning
409,STEM,Therapists
410,STEM,BGAN
411,Athletics,FMCSR
412,Humanities,IEEE 802.11
413,Humanities,DC Operations
414,Humanities,XForms
415,Humanities,Press Kits
416,STEM,DCN
417,Humanities,Epicor
418,Athletics,RMIS
419,Athletics,VxFS
420,Athletics,Nanomaterials
421,STEM,Security Clearance
422,STEM,TCM
423,Athletics,Simulink
424,Humanities,Business Valuation
425,Athletics,SDSF
426,STEM,Bluetooth
427,STEM,RDFa
428,Athletics,Oligonucleotides
429,Humanities,Classics
430,Athletics,Squash
431,STEM,Trimble GPS
432,STEM,CentOS
433,STEM,Process Improvement
434,Humanities,Simple IRA
435,STEM,Karaoke
436,STEM,Snow Leopard
437,STEM,TCP/IP
438,Athletics,HVAC Controls
439,Athletics,Durable Medical Equipment
440,Humanities,Particle Effects
441,Humanities,WSAD
442,STEM,Aircraft
443,Humanities,AACR2
444,STEM,BS7799
445,Athletics,Vectorworks
446,STEM,Healthcare Management
447,Humanities,Experion PKS
448,Humanities,Events Coordination
449,Humanities,NPV
450,Humanities,Electronics
451,STEM,Offshore Outsourcing
452,STEM,PVElite
453,Humanities,SEM
454,Athletics,TPM
455,STEM,PWE3
456,STEM,GPGPU
457,Humanities,Evangelism
458,Humanities,Social Justice
459,STEM,End User Training
460,Humanities,Front Office
461,Athletics,CXO
462,STEM,XFS
463,Humanities,Android
464,Humanities,Microsoft Excel
465,Athletics,Global Operations
466,Athletics,Liability
467,Humanities,Job Coaching
468,Athletics,Security Operations
469,Athletics,SFE
470,Athletics,XTRACT
471,Humanities,Eyelid Surgery
472,Humanities,Income Tax
473,Athletics,InfoComm CTS
474,Athletics,SAP MDM
475,STEM,LCS
476,STEM,Cardiac MRI
477,STEM,WiFi
478,Athletics,GMS
479,Athletics,Qt Creator
480,STEM,SharePoint
481,Athletics,Go
482,STEM,LVM
483,Humanities,Merchandising
484,Athletics,Group Work
485,STEM,Hadoop
486,STEM,XATA
487,Humanities,Mythology
488,Humanities,CQI
489,Athletics,Twitter
490,Athletics,RTB
491,STEM,KPI Implementation
492,STEM,TVPaint
493,STEM,Taxes
494,Humanities,Supply Chain
495,Humanities,JDO
496,STEM,TI DSPs
497,Athletics,RF Circuits
498,Athletics,PPDS
499,Athletics,CFDesign
500,Athletics,CSA 2010
