uid,sid
410,205
617,430
857,170
737,283
788,46
640,97
613,247
132,9
429,369
164,457
90,11
164,287
649,485
783,65
533,474
223,54
503,111
938,188
989,388
150,459
307,314
144,24
523,423
948,421
313,79
666,185
961,128
526,327
738,186
36,224
655,329
640,478
113,48
43,289
744,425
178,472
1000,315
892,458
746,486
679,136
66,226
304,55
793,42
772,452
368,254
979,202
964,488
349,225
581,457
478,120
375,331
851,119
663,82
324,418
290,147
54,376
44,97
423,479
970,170
391,490
921,384
575,242
567,367
82,483
262,206
347,433
660,128
380,117
31,385
888,385
789,73
787,97
487,380
10,136
992,481
381,399
112,397
485,325
345,272
663,276
792,393
730,355
631,86
928,12
912,24
167,58
924,398
523,51
859,491
757,320
162,240
492,211
894,475
131,477
724,45
994,29
682,102
898,217
740,368
607,249
941,360
890,338
365,447
993,17
305,433
371,258
236,445
287,244
733,222
437,462
254,373
457,167
991,17
85,82
818,417
254,453
754,379
980,204
843,327
167,223
930,417
147,335
509,385
552,404
292,134
906,181
615,252
236,329
188,10
94,254
50,379
204,194
665,448
128,274
650,100
325,257
869,150
86,431
434,108
838,221
627,222
699,386
475,212
587,416
891,183
430,429
624,409
618,282
518,37
826,163
48,350
736,157
788,462
475,266
206,270
694,120
80,410
352,14
721,244
813,106
486,110
821,86
141,179
969,304
296,295
882,169
174,481
241,322
824,232
109,90
440,115
594,471
826,346
347,476
129,251
823,412
319,37
955,70
351,46
905,109
117,408
92,312
757,144
163,127
125,87
105,42
32,155
731,62
592,384
52,340
473,148
733,382
640,119
246,65
533,360
382,5
710,170
590,348
838,355
667,185
739,78
449,333
775,252
120,33
383,123
698,343
159,2
433,442
14,417
562,71
914,302
688,158
333,93
445,305
465,283
109,147
854,341
605,219
881,391
388,186
175,13
984,1
289,217
274,271
178,210
246,283
963,332
27,346
25,173
241,443
316,270
734,56
873,133
555,28
570,141
561,148
988,388
803,114
267,149
47,122
802,474
698,134
447,345
703,40
564,189
996,103
831,484
641,427
618,59
422,153
817,498
32,289
516,486
843,228
138,437
705,417
82,147
108,173
491,320
884,161
896,436
285,366
351,77
41,46
245,167
13,334
4,51
424,467
746,426
951,81
787,244
966,478
749,100
836,314
340,100
837,145
761,260
379,105
858,220
125,277
661,283
471,365
627,21
637,21
343,469
262,464
672,114
908,474
914,407
425,404
465,427
194,162
578,91
85,150
969,192
368,91
913,21
894,500
327,184
10,152
220,292
93,221
9,82
635,91
430,242
783,146
307,348
861,91
564,422
7,355
988,174
357,412
273,437
345,412
142,338
502,383
980,43
333,440
346,471
855,161
637,302
802,305
738,122
585,322
959,83
500,442
553,450
337,197
458,377
220,497
600,291
389,454
813,277
409,66
109,442
646,181
968,417
520,56
207,227
710,419
549,486
276,353
561,115
927,315
198,272
903,247
67,60
329,368
590,309
859,452
895,375
216,343
735,85
168,440
854,488
958,74
108,222
968,249
371,18
434,143
616,52
375,428
460,109
633,84
194,410
188,202
77,374
735,153
822,5
37,474
647,500
808,368
751,364
899,196
895,50
379,175
91,96
696,410
513,226
794,218
268,355
388,37
320,233
